contract_uid,contract_type,dataset,contract_basename,pdf_path,is_pdf_renamed,txt_path,is_txt_matched,is_txt_renamed,raw_html_path,is_raw_html_matched,is_raw_html_renamed,processed_html_path,ocr_results_path,pipeline_results_path,pipeline_results_csv_path,pipeline_results_json_path,processing_status
ct_166,Outsourcing,cuad,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,CUAD_v1/full_contract_pdf/Part_I/Outsourcing/ct_166.pdf,True,CUAD_v1/full_contract_txt/ct_166.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_166_ocr_results.json,,,,
ct_167,Outsourcing,cuad,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,CUAD_v1/full_contract_pdf/Part_I/Outsourcing/ct_167.pdf,True,CUAD_v1/full_contract_txt/ct_167.txt,True,True,CUAD_v1/contract_raw_html/ct_167.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_167_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_167/ct_167_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_167/ct_167.json,True
ct_168,Outsourcing,cuad,PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement,CUAD_v1/full_contract_pdf/Part_I/Outsourcing/ct_168.pdf,True,CUAD_v1/full_contract_txt/ct_168.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_168_ocr_results.json,,,,
ct_169,Promotion,cuad,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,CUAD_v1/full_contract_pdf/Part_I/Promotion/ct_169.pdf,True,CUAD_v1/full_contract_txt/ct_169.txt,True,True,CUAD_v1/contract_raw_html/ct_169.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_169_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_169/ct_169_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_169/ct_169.json,True
ct_17,Co_Branding,cuad,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_17.pdf,True,CUAD_v1/full_contract_txt/ct_17.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_17_ocr_results.json,,,,
ct_170,Promotion,cuad,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement,CUAD_v1/full_contract_pdf/Part_I/Promotion/ct_170.pdf,True,CUAD_v1/full_contract_txt/ct_170.txt,True,True,CUAD_v1/contract_raw_html/ct_170.htm,True,True,,../data/CUAD_v1/contract_ocr_results/ct_170_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_170/ct_170_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_170/ct_170.json,True
ct_171,Promotion,cuad,SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,CUAD_v1/full_contract_pdf/Part_I/Promotion/ct_171.pdf,True,CUAD_v1/full_contract_txt/ct_171.txt,True,True,CUAD_v1/contract_raw_html/ct_171.htm,True,True,,../data/CUAD_v1/contract_ocr_results/ct_171_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_171/ct_171_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_171/ct_171.json,True
ct_172,Promotion,cuad,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement,CUAD_v1/full_contract_pdf/Part_I/Promotion/ct_172.pdf,True,CUAD_v1/full_contract_txt/ct_172.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_172_ocr_results.json,,,,
ct_173,Reseller,cuad,BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Reseller/ct_173.pdf,True,CUAD_v1/full_contract_txt/ct_173.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_173_ocr_results.json,,,,
ct_174,Reseller,cuad,EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Reseller/ct_174.pdf,True,CUAD_v1/full_contract_txt/ct_174.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_174_ocr_results.json,,,,
ct_175,Reseller,cuad,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Reseller/ct_175.pdf,True,CUAD_v1/full_contract_txt/ct_175.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_175_ocr_results.json,,,,
ct_176,Reseller,cuad,IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Reseller/ct_176.pdf,True,CUAD_v1/full_contract_txt/ct_176.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_176_ocr_results.json,,,,
ct_177,Reseller,cuad,SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Reseller/ct_177.pdf,True,CUAD_v1/full_contract_txt/ct_177.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_177_ocr_results.json,,,,
ct_178,Service,cuad,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement,CUAD_v1/full_contract_pdf/Part_I/Service/ct_178.pdf,True,CUAD_v1/full_contract_txt/ct_178.txt,True,True,,False,False,,,,,,
ct_179,Service,cuad,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,CUAD_v1/full_contract_pdf/Part_I/Service/ct_179.pdf,True,CUAD_v1/full_contract_txt/ct_179.txt,True,True,,False,False,,,,,,
ct_18,Co_Branding,cuad,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_18.pdf,True,CUAD_v1/full_contract_txt/ct_18.txt,True,True,,False,False,,,,,,
ct_180,Service,cuad,ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement,CUAD_v1/full_contract_pdf/Part_I/Service/ct_180.pdf,True,CUAD_v1/full_contract_txt/ct_180.txt,True,True,,False,False,,,,,,
ct_181,Service,cuad,VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,CUAD_v1/full_contract_pdf/Part_I/Service/ct_181.pdf,True,CUAD_v1/full_contract_txt/ct_181.txt,True,True,,False,False,,,,,,
ct_182,Sponsorship,cuad,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,CUAD_v1/full_contract_pdf/Part_I/Sponsorship/ct_182.pdf,True,CUAD_v1/full_contract_txt/ct_182.txt,True,True,,False,False,,,,,,
ct_183,Sponsorship,cuad,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,CUAD_v1/full_contract_pdf/Part_I/Sponsorship/ct_183.pdf,True,CUAD_v1/full_contract_txt/ct_183.txt,True,True,,False,False,,,,,,
ct_184,Sponsorship,cuad,EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement,CUAD_v1/full_contract_pdf/Part_I/Sponsorship/ct_184.pdf,True,CUAD_v1/full_contract_txt/ct_184.txt,True,True,,False,False,,,,,,
ct_185,Sponsorship,cuad,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,CUAD_v1/full_contract_pdf/Part_I/Sponsorship/ct_185.pdf,True,CUAD_v1/full_contract_txt/ct_185.txt,True,True,,False,False,,,,,,
ct_186,Strategic Alliance,cuad,CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,CUAD_v1/full_contract_pdf/Part_I/Strategic Alliance/ct_186.PDF,True,CUAD_v1/full_contract_txt/ct_186.txt,True,True,,False,False,,,,,,
ct_187,Strategic Alliance,cuad,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,CUAD_v1/full_contract_pdf/Part_I/Strategic Alliance/ct_187.PDF,True,CUAD_v1/full_contract_txt/ct_187.txt,True,True,,False,False,,,,,,
ct_188,Strategic Alliance,cuad,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,CUAD_v1/full_contract_pdf/Part_I/Strategic Alliance/ct_188.PDF,True,CUAD_v1/full_contract_txt/ct_188.txt,True,True,CUAD_v1/contract_raw_html/ct_188.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_188_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_188/ct_188_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_188/ct_188.json,True
ct_189,Strategic Alliance,cuad,PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun),CUAD_v1/full_contract_pdf/Part_I/Strategic Alliance/ct_189.PDF,True,CUAD_v1/full_contract_txt/ct_189.txt,True,True,,False,False,,,,,,
ct_19,Co_Branding,cuad,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_19.pdf,True,CUAD_v1/full_contract_txt/ct_19.txt,True,True,,False,False,,,,,,
ct_190,Strategic Alliance,cuad,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement",CUAD_v1/full_contract_pdf/Part_I/Strategic Alliance/ct_190.PDF,True,CUAD_v1/full_contract_txt/ct_190.txt,True,True,,False,False,,,,,,
ct_191,Supply,cuad,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Supply/ct_191.pdf,True,CUAD_v1/full_contract_txt/ct_191.txt,True,True,,False,False,,,,,,
ct_192,Supply,cuad,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Supply/ct_192.pdf,True,CUAD_v1/full_contract_txt/ct_192.txt,True,True,,False,False,,,,,,
ct_193,Supply,cuad,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Supply/ct_193.pdf,True,CUAD_v1/full_contract_txt/ct_193.txt,True,True,,False,False,,,,,,
ct_194,Supply,cuad,WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Supply/ct_194.pdf,True,CUAD_v1/full_contract_txt/ct_194.txt,True,True,,False,False,,,,,,
ct_195,Transportation,cuad,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,CUAD_v1/full_contract_pdf/Part_I/Transportation/ct_195.pdf,True,CUAD_v1/full_contract_txt/ct_195.txt,True,True,,False,False,,,,,,
ct_196,Transportation,cuad,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,CUAD_v1/full_contract_pdf/Part_I/Transportation/ct_196.pdf,True,CUAD_v1/full_contract_txt/ct_196.txt,True,True,CUAD_v1/contract_raw_html/ct_196.htm,True,True,,../data/CUAD_v1/contract_ocr_results/ct_196_ocr_results.json,,,,True
ct_197,Transportation,cuad,TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,CUAD_v1/full_contract_pdf/Part_I/Transportation/ct_197.pdf,True,CUAD_v1/full_contract_txt/ct_197.txt,True,True,,False,False,,,,,,
ct_198,Transportation,cuad,ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,CUAD_v1/full_contract_pdf/Part_I/Transportation/ct_198.pdf,True,CUAD_v1/full_contract_txt/ct_198.txt,True,True,,False,False,,,,,,
ct_199,Agency Agreements,cuad,"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",CUAD_v1/full_contract_pdf/Part_II/Agency Agreements/ct_199.PDF,True,CUAD_v1/full_contract_txt/ct_199.txt,True,True,,False,False,,,,,,
ct_2,Affiliate_Agreements,cuad,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,CUAD_v1/full_contract_pdf/Part_I/Affiliate_Agreements/ct_2.pdf,True,CUAD_v1/full_contract_txt/ct_2.txt,True,True,,False,False,,,,,,
ct_20,Co_Branding,cuad,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_20.pdf,True,CUAD_v1/full_contract_txt/ct_20.txt,True,True,,False,False,,,,,,
ct_200,Agency Agreements,cuad,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Agency Agreements/ct_200.PDF,True,CUAD_v1/full_contract_txt/ct_200.txt,True,True,,False,False,,,,,,
ct_201,Agency Agreements,cuad,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1,CUAD_v1/full_contract_pdf/Part_II/Agency Agreements/ct_201.pdf,True,CUAD_v1/full_contract_txt/ct_201.txt,True,True,,False,False,,,,,,
ct_202,Agency Agreements,cuad,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2,CUAD_v1/full_contract_pdf/Part_II/Agency Agreements/ct_202.pdf,True,CUAD_v1/full_contract_txt/ct_202.txt,True,True,,False,False,,,,,,
ct_203,Collaboration,cuad,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_203.PDF,True,CUAD_v1/full_contract_txt/ct_203.txt,True,True,,False,False,,,,,,
ct_204,Collaboration,cuad,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_204.PDF,True,CUAD_v1/full_contract_txt/ct_204.txt,True,True,,False,False,,,,,,
ct_205,Collaboration,cuad,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_205.PDF,True,CUAD_v1/full_contract_txt/ct_205.txt,True,True,,False,False,,,,,,
ct_206,Collaboration,cuad,IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_206.PDF,True,CUAD_v1/full_contract_txt/ct_206.txt,True,True,,False,False,,,,,,
ct_207,Collaboration,cuad,"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_207.PDF,True,CUAD_v1/full_contract_txt/ct_207.txt,True,True,CUAD_v1/contract_raw_html/ct_207.htm,True,True,,../data/CUAD_v1/contract_ocr_results/ct_207_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_207/ct_207_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_207/ct_207.json,True
ct_208,Collaboration,cuad,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_208.PDF,True,CUAD_v1/full_contract_txt/ct_208.txt,True,True,,False,False,,,,,,
ct_209,Collaboration,cuad,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_209.PDF,True,CUAD_v1/full_contract_txt/ct_209.txt,True,True,,False,False,,,,,,
ct_21,Co_Branding,cuad,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_21.pdf,True,CUAD_v1/full_contract_txt/ct_21.txt,True,True,,False,False,,,,,,
ct_210,Collaboration,cuad,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_210.PDF,True,CUAD_v1/full_contract_txt/ct_210.txt,True,True,,False,False,,,,,,
ct_211,Collaboration,cuad,XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),CUAD_v1/full_contract_pdf/Part_II/Collaboration/ct_211.PDF,True,CUAD_v1/full_contract_txt/ct_211.txt,True,True,CUAD_v1/contract_raw_html/ct_211.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_211_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_211/ct_211_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_211/ct_211.json,True
ct_212,Consulting Agreements,cuad,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_212.PDF,True,CUAD_v1/full_contract_txt/ct_212.txt,True,True,,False,False,,,,,,
ct_213,Consulting Agreements,cuad,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_213.PDF,True,CUAD_v1/full_contract_txt/ct_213.txt,True,True,,False,False,,,,,,
ct_214,Consulting Agreements,cuad,"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_214.PDF,True,CUAD_v1/full_contract_txt/ct_214.txt,True,True,,False,False,,,,,,
ct_215,Consulting Agreements,cuad,"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_215.PDF,True,CUAD_v1/full_contract_txt/ct_215.txt,True,True,,False,False,,,,,,
ct_216,Consulting Agreements,cuad,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.,CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_216.PDF,True,CUAD_v1/full_contract_txt/ct_216.txt,True,True,,False,False,,,,,,
ct_217,Consulting Agreements,cuad,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_217.PDF,True,CUAD_v1/full_contract_txt/ct_217.txt,True,True,,False,False,,,,,,
ct_218,Consulting Agreements,cuad,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_218.PDF,True,CUAD_v1/full_contract_txt/ct_218.txt,True,True,,False,False,,,,,,
ct_219,Consulting Agreements,cuad,"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_219.PDF,True,CUAD_v1/full_contract_txt/ct_219.txt,True,True,,False,False,,,,,,
ct_22,Co_Branding,cuad,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_22.pdf,True,CUAD_v1/full_contract_txt/ct_22.txt,True,True,,False,False,,,,,,
ct_220,Consulting Agreements,cuad,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_220.PDF,True,CUAD_v1/full_contract_txt/ct_220.txt,True,True,,False,False,,,,,,
ct_221,Consulting Agreements,cuad,SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_221.PDF,True,CUAD_v1/full_contract_txt/ct_221.txt,True,True,,False,False,,,,,,
ct_222,Consulting Agreements,cuad,SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Consulting Agreements/ct_222.PDF,True,CUAD_v1/full_contract_txt/ct_222.txt,True,True,,False,False,,,,,,
ct_223,Development,cuad,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),CUAD_v1/full_contract_pdf/Part_II/Development/ct_223.pdf,True,CUAD_v1/full_contract_txt/ct_223.txt,True,True,,False,False,,,,,,
ct_224,Development,cuad,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,CUAD_v1/full_contract_pdf/Part_II/Development/ct_224.pdf,True,CUAD_v1/full_contract_txt/ct_224.txt,True,True,,False,False,,,,,,
ct_225,Distributor,cuad,"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Distributor/ct_225.pdf,True,CUAD_v1/full_contract_txt/ct_225.txt,True,True,,False,False,,,,,,
ct_226,Distributor,cuad,"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR-",CUAD_v1/full_contract_pdf/Part_II/Distributor/ct_226.pdf,True,CUAD_v1/full_contract_txt/ct_226.txt,True,True,,False,False,,,,,,
ct_227,Distributor,cuad,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/Distributor/ct_227.pdf,True,CUAD_v1/full_contract_txt/ct_227.txt,True,True,,False,False,,,,,,
ct_228,Endorsement,cuad,WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement,CUAD_v1/full_contract_pdf/Part_II/Endorsement/ct_228.pdf,True,CUAD_v1/full_contract_txt/ct_228.txt,True,True,,False,False,,,,,,
ct_229,Endorsement,cuad,WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Endorsement/ct_229.PDF,True,CUAD_v1/full_contract_txt/ct_229.txt,True,True,,False,False,,,,,,
ct_23,Co_Branding,cuad,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_23.pdf,True,CUAD_v1/full_contract_txt/ct_23.txt,True,True,,False,False,,,,,,
ct_230,Franchise,cuad,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Franchise/ct_230.PDF,True,CUAD_v1/full_contract_txt/ct_230.txt,True,True,,False,False,,,,,,
ct_231,Franchise,cuad,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Franchise/ct_231.PDF,True,CUAD_v1/full_contract_txt/ct_231.txt,True,True,,False,False,,,,,,
ct_232,Hosting,cuad,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_232.PDF,True,CUAD_v1/full_contract_txt/ct_232.txt,True,True,,False,False,,,,,,
ct_233,Hosting,cuad,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_233.PDF,True,CUAD_v1/full_contract_txt/ct_233.txt,True,True,,False,False,,,,,,
ct_234,Hosting,cuad,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_234.PDF,True,CUAD_v1/full_contract_txt/ct_234.txt,True,True,,False,False,,,,,,
ct_235,Hosting,cuad,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_235.pdf,True,CUAD_v1/full_contract_txt/ct_235.txt,True,True,,False,False,,,,,,
ct_236,Hosting,cuad,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_236.pdf,True,CUAD_v1/full_contract_txt/ct_236.txt,True,True,,False,False,,,,,,
ct_237,Hosting,cuad,REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_237.PDF,True,CUAD_v1/full_contract_txt/ct_237.txt,True,True,,False,False,,,,,,
ct_238,Hosting,cuad,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Hosting/ct_238.PDF,True,CUAD_v1/full_contract_txt/ct_238.txt,True,True,,False,False,,,,,,
ct_239,IP,cuad,"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",CUAD_v1/full_contract_pdf/Part_II/IP/ct_239.PDF,True,CUAD_v1/full_contract_txt/ct_239.txt,True,True,CUAD_v1/contract_raw_html/ct_239.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_239_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_239/ct_239_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_239/ct_239.json,True
ct_24,Co_Branding,cuad,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_24.pdf,True,CUAD_v1/full_contract_txt/ct_24.txt,True,True,,False,False,,,,,,
ct_240,IP,cuad,INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/IP/ct_240.PDF,True,CUAD_v1/full_contract_txt/ct_240.txt,True,True,,False,False,,,,,,
ct_241,IP,cuad,"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT",CUAD_v1/full_contract_pdf/Part_II/IP/ct_241.PDF,True,CUAD_v1/full_contract_txt/ct_241.txt,True,True,,False,False,,,,,,
ct_242,IP,cuad,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/IP/ct_242.PDF,True,CUAD_v1/full_contract_txt/ct_242.txt,True,True,,False,False,,,,,,
ct_243,Maintenance,cuad,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,CUAD_v1/full_contract_pdf/Part_II/Maintenance/ct_243.PDF,True,CUAD_v1/full_contract_txt/ct_243.txt,True,True,,False,False,,,,,,
